,MDmeter,Segment,Angle,Diameter,Roughness,Pressure,Massrate,H_enthalpy,Dryness,Rhom_,rhol,rhog,Gravity,Area,velocity,Vsl,Vsg,mi,miuL,miug,deltaw,NoslipHoldup,LiqVelNumb,GasVelNumb,diaNum,liqVisNum,L1,L2,Lb,Ls,Lm,F1,F2,F3,F4,F5,F6,F6aksen,F7,PolaAliran,Sbubble,Sslug,S_pattern,slip_vel_for_bubble_slug,HL,Re,AUColumn,fff,f1,R,f_input_bub_frifact,f2,f3,fm,Nre,Nw,e/D,fmBF,dp/dz,A,B,dens_correction,transisi,BLColumn,EkComplement,Dp/dz_total,Dptot,P2,Re_Homogen,BRColumn_Homogen,fff_Homogen,mff_Homogen,BUColumn_Homogen,DeltaPGravity_Homogen,acceleration_Homogen,DeltaPfriksi_Homogen,DeltaPtotal_Homogen,P2_Homogen,rho__Homogen,velocity_Homogen,Ep_Homogen,Ek_Homogen,H2_Homogen,Tanradian,T2_Homogen
0,0,0,0.0,0.224,4.5e-05,8.02,17.19,2240.0,0.7418554723568804,5.613121842376645,896.925606352863,4.170863247520154,9.81,0.03940813824663037,77.7115353159566,0.12554414366825375,77.58599117228835,5.1953113680489144e-05,0.00015904194606194746,1.4699345479702986e-05,0.044292355208443115,0.0016155149059637179,0.846225521295314,522.9654200236943,99.83810895444383,0.0005327129405487014,1,1.1,1.9308480734248454,80.4641187666313,149.1129116116594,1.2059030656540954,0.25,0.86,-62.487436142652285,0.24761666727835036,2.357751450116925,5.253056609795796,0.1575213944930542,Mist,69005.51763754012,458.9742439036897,458.9742439036897,68.09240204487324,0.0016155149059637179,158594.90048822798,0.000157123700435711,0.0044291855153561505,0.017716742061424602,617.9976931246332,1876.8885653858931,0.17406681620821862,1.0622862647075044,0.0029030751753752076,4931275.704700212,1.5985666243554314e-05,0.020775448569518365,0.023982059753265342,0.013440054899130369,-5.445871557508548,6.445871557508548,14.62795693897653,0.013440054899130369,0.000550647252737149,0.9686440196047508,0.014443595241083858,-0.04333078572325157,8.06333078572325,1880729.7566247226,4.1478184803307455e-05,0.003575790605085645,0.01430316242034258,0,-0.0016519417582114468,0.9577330335036405,-0.032467642769445026,-0.035625360443962154,8.055625360443962,5.6380152289904135,77.36841753170116,0.02943,0.0266053449017636,2240.056035344902,0.0,170.5170677944252
1,3,-3,0.0,0.224,4.5e-05,8.06333078572325,17.19,2240.056035344902,0.7416794293475125,5.64319275561122,896.6963885152152,4.1922553015199915,9.81,0.03940813824663037,77.2974334170824,0.12566187323539763,77.171771543847,5.192687323840023e-05,0.00015881975361804876,1.4707045033625705e-05,0.04424309130364011,0.0016256927000066071,0.8472006236013165,520.2848827017857,99.88091227663412,0.0005324469170179115,1,1.1,1.9319206859614484,80.49922244964739,149.17695240070537,1.2058977888023377,0.25,0.86,-62.50232680982324,0.24762476828922003,2.358372048686037,5.254918504708426,0.15752846825669997,Mist,68227.86116358047,456.5658039498633,456.5658039498633,67.72057595482154,0.0016256927000066071,158925.08428926862,0.00015688259253394016,0.004427839165976059,0.017711356663904235,614.1224028968918,1863.337710936916,0.17408131199171484,1.062071793903893,0.0029030205141524087,4927524.458649725,1.5873869803355164e-05,0.020757266921402444,0.023976029666427045,0.013361767661723133,-5.403613814340458,6.403613814340458,14.621340781573405,0.013361767661723133,0.0005535972093254608,0.9689860708807102,0.014360748094553039,-0.043082244283659116,8.106413030006909,1881680.1543125832,4.1472034159091116e-05,0.0035757256703753053,0.014302902681501221,0,-0.0016607916279763823,0.9581841859271005,-0.03229404580167656,-0.03543664978857859,8.09876743551183,5.66795683143019,76.95971039648039,0.02943,0.026048094279077758,2240.111513439181,0.0,170.74072860617002
2,6,-6,0.0,0.224,4.5e-05,8.106413030006909,17.19,2240.111513439181,0.7415051904923993,5.673093953716779,896.469226322898,4.213521189404567,9.81,0.03940813824663037,76.89002153768963,0.1257784967225294,76.7642430409671,5.1900965784916654e-05,0.00015860038764739057,1.4714667886105753e-05,0.044194301904717535,0.0016358234034422243,0.8481671049506866,517.6473521338062,99.92337076162325,0.0005321853820119925,1,1.1,1.9329838154457555,80.53401577822471,149.24040881900507,1.2058926008091775,0.25,0.86,-62.516971989196385,0.24763273656875756,2.3589824416660883,5.256760193753163,0.15753542436064563,Mist,67467.26426706491,454.19618931102815,454.19618931102815,67.35478607362872,0.0016358234034422243,159252.24359862306,0.00015664462914422063,0.004426509227157061,0.017706036908628243,610.312931393281,1850.030640047609,0.17409572592777334,1.0618603893293632,0.0029029666987186687,4923814.7840331,1.5764127936062867e-05,0.020739248853355274,0.02397005128095894,0.013284771075138799,-5.362047504023896,6.362047504023896,14.614795711931903,0.013284771075138799,0.000556530516859616,0.9693207026368381,0.014279383030142648,-0.04283814909042795,8.149251179097337,1882619.434349699,4.146596125521651e-05,0.003575661554299137,0.014302646217196548,0,-0.0016695915505788484,0.9586256471882697,-0.03212325744023786,-0.03525135081659249,8.141664380823501,5.697731078525986,76.55754725431284,0.02943,0.025508685235016402,2240.166452124416,0.0,170.96216516483713
3,9,-9,0.0,0.224,4.5e-05,8.149251179097337,17.19,2240.166452124416,0.7413327195359011,5.702828474786929,896.2440770910663,4.234663207536699,9.81,0.03940813824663037,76.48911732399905,0.12589403612772432,76.36322328787132,5.1875382862425507e-05,0.00015838377994287992,1.4722215693196343e-05,0.04414597693926641,0.0016459078171140577,0.8491251355235023,515.051660251329,99.9654914221228,0.0005319282204766263,1,1.1,1.9340376490758526,80.56850487884608,149.3032925451504,1.2058874994011808,0.25,0.86,-62.531377837489586,0.24764057542692722,2.3595828843615916,5.258582135603152,0.15754226578065417,Mist,66723.16837690881,451.8643442780572,451.8643442780572,66.9948676625857,0.0016459078171140575,159576.4394215167,0.0001564097348526825,0.004425195319686805,0.01770078127874722,606.5674406561873,1836.960325862128,0.17411005943584312,1.0616519731803418,0.0029029137215949214,4920145.764218904,1.5656380056836e-05,0.020721390897846578,0.023964123510721084,0.013209029624500575,-5.321153670857683,6.321153670857683,14.608320275237224,0.013209029624500575,0.0005594474733765978,0.9696481566208159,0.014199456786325207,-0.042598370358975624,8.191849549456313,1883547.8690794634,4.1459964120743016e-05,0.0035755982361284915,0.014302392944513966,0,-0.0016783424201297934,0.9590577313271895,-0.03195520104986306,-0.035069362741541286,8.18432054183888,5.727340938266744,76.16175132375267,0.02943,0.02498635215167542,2240.220868476568,0.0,171.18142538177096
4,12,-12,0.0,0.224,4.5e-05,8.191849549456313,17.19,2240.220868476568,0.7411619813290967,5.732399268128747,896.0208995007129,4.255683584605315,9.81,0.03940813824663037,76.09454538727763,0.12600851277714525,75.9685368745005,5.185011632508214e-05,0.00015816986470048943,1.4729690056688e-05,0.04409810666160209,0.0016559467191220357,0.8500748803057212,512.4966834963293,100.00728104904944,0.0005316753215389206,1,1.1,1.9350823683362934,80.60269569100596,149.36561489871707,1.2058824823874155,0.25,0.86,-62.54555029139073,0.247648288055898,2.3601736229719688,5.260384773394403,0.15754899538545014,Mist,65995.03918664971,449.5692533764207,449.5692533764207,66.64066227662309,0.001655946719122036,159897.7308583769,0.00015617783687373767,0.004423897077243653,0.01769558830897461,602.884163936258,1824.1200194196676,0.17412431389459226,1.061446470477178,0.0029028615751825813,4916516.512819392,1.5550568028711018e-05,0.02070368970077931,0.02395824530490612,0.013134509159176395,-5.280914085405649,6.280914085405649,14.601913061442678,0.013134509159176395,0.00056234836820343,0.9699686641021747,0.014120927854981738,-0.04236278356494522,8.234212333021258,1884465.721071805,4.145404085728617e-05,0.0035755356958970747,0.014302142783588299,0,-0.0016870451046102903,0.9594807388204516,-0.031789802924818644,-0.03489058891435807,8.22674013837067,5.756789292745056,75.77215251500394,0.02943,0.02448037046971922,2240.2747788470374,0.0,171.39855559964826
5,15,-15,0.0,0.224,4.5e-05,8.234212333021258,17.19,2240.2747788470374,0.7409929417846467,5.761809197864172,895.7996535397901,4.276584484385484,9.81,0.03940813824663037,75.70613696272957,0.1261219473526159,75.58001501537696,5.182515832382707e-05,0.0001579585784083141,1.4737092526486049e-05,0.04405068163854649,0.0016659408657280481,0.8510164993028974,509.9813406450108,100.04874622102032,0.0005314265783106599,1,1.1,1.9361181492331871,80.6365939749043,149.42738685510852,1.2058775476555745,0.25,0.86,-62.55949507777466,0.24765587753549584,2.360754895013595,5.262168535423184,0.1575556159417157,Mist,65282.36534433194,447.3099393996456,447.3099393996456,66.29201745615536,0.0016659408657280481,160216.1751851334,0.00015594886493027206,0.004422614145819772,0.01769045658327909,599.2614021734684,1811.5032357236332,0.17413849064354014,1.0612438089312257,0.0029028102517834687,4912926.172365261,1.54466360374205e-05,0.020686142016492867,0.023952415646488517,0.013061176825712636,-5.241311208867576,6.241311208867576,14.595572703438464,0.013061176825712636,0.0005652334823104753,0.9702824464375529,0.0140437563907842,-0.042131269172352596,8.276343602193611,1885373.2435831258,4.1448189635534394e-05,0.0035754739143643833,0.014301895657457533,0,-0.001695700446931426,0.9598949573110998,-0.031626992145330886,-0.034714936606821345,8.26892726962808,5.786078941606753,75.38858710515434,0.02943,0.02399005405406251,2240.3281989010916,0.0,171.61360066119175
6,18,-18,0.0,0.224,4.5e-05,8.276343602193611,17.19,2240.3281989010916,0.7408255678339587,5.79106104634516,895.5803004475108,4.297368008355208,9.81,0.03940813824663037,75.3237295887109,0.12623435991777596,75.19749522879313,5.1800501292285506e-05,0.00015774985974194224,1.4744424602858098e-05,0.04400369273598439,0.0016758909922152242,0.8519501477428545,507.5045907611207,100.08989331333677,0.0005311818877028959,1,1.1,1.9371451625171399,80.67020531874276,149.4886190596305,1.2058726931683208,0.25,0.86,-62.57321772333742,0.2476633468383457,2.361326929717823,5.26393383580459,0.15756213011879974,Mist,64584.65722674001,445.08546155973085,445.08546155973085,65.94878643727746,0.0016758909922152242,160531.82792926568,0.00015572275114056775,0.0044213461831761535,0.017685384732704614,595.697520689088,1799.103740654428,0.17415259098460556,1.0610439188195928,0.002902759743617901,4909373.913052676,1.5344530473933617e-05,0.020668744703041954,0.023946633550759183,0.012989001004774537,-5.202328159574808,6.202328159574807,14.58929787531367,0.012989001004774537,0.0005681030886464601,0.9705897155995623,0.01396790412625212,-0.041903712378756355,8.318247314572368,1886270.6809896166,4.1442408691970715e-05,0.003575412872981282,0.014301651491925128,0,-0.0017043092659393807,0.9603006622916267,-0.03146670044257243,-0.03454231680873125,8.310885919002342,5.815212605323972,75.01089743258296,0.02943,0.02351475275588018,2240.3811436538476,0.0,171.82660397412354
7,21,-21,0.0,0.224,4.5e-05,8.318247314572368,17.19,2240.3811436538476,0.740659827386498,5.820157517394374,895.3628026616279,4.3180361981779285,9.81,0.03940813824663037,74.9471668048435,0.12634576994291163,74.8208210349006,5.177613793349152e-05,0.0001575436494657149,1.4751687738559918e-05,0.043957131106142584,0.0016857978137039657,0.8528759762680461,505.06543126968927,100.13072850649101,0.0005309411502511122,1,1.1,1.9381635738948508,80.70353514564965,149.54932184084643,1.2058679169598416,0.25,0.86,-62.58672356368717,0.2476706988347243,2.361889948406589,5.265681075094829,0.15756854049316124,Mist,63901.445791682636,442.89491374633144,442.89491374633144,65.61082787902676,0.001685797813703966,160844.74294187617,0.00015549942991150052,0.0044200928583274625,0.01768037143330985,592.1909460736819,1786.915538665909,0.17416661618357665,1.0608467328670312,0.0029027100428411457,4905858.931557736,1.5244199824161958e-05,0.020651494717733056,0.02394089806393978,0.012917951251811523,-5.163948681461525,6.163948681461526,14.58308729070544,0.012917951251811523,0.0005709574524563881,0.9708906746719816,0.013893334292066592,-0.04168000287619977,8.359927317448568,1887158.2691956458,4.143669632578611e-05,0.003575352553857592,0.014301410215430368,0,-0.0017128723573691645,0.9606981177435614,-0.03130886207160826,-0.034372644037793255,8.35261995861016,5.844192928302591,74.63893160921243,0.02943,0.02305385015417278,2240.433627504002,0.0,172.0376075726092
8,24,-24,0.0,0.224,4.5e-05,8.359927317448568,17.19,2240.433627504002,0.7404956892911307,5.849101239382064,895.1471237684958,4.338591038059093,9.81,0.03940813824663037,74.57629786772222,0.12645619632853566,74.4498416713937,5.1752061207376016e-05,0.00015733989033948212,1.4758883340847832e-05,0.043910988175545444,0.0016956620259272464,0.8537941311181886,502.66289614287945,100.17125779422574,0.0005307042699502541,1,1.1,1.9391735442300075,80.73658872025479,149.609505223255,1.2058632171325978,0.25,0.86,-62.600017751927375,0.24767793629714277,2.3624441648470644,5.267410640879611,0.15757484955256246,Mist,63232.2815025755,440.73742288721223,440.73742288721223,65.27800560653309,0.0016956620259272468,161154.9724660287,0.00015527883783760782,0.004418853851054787,0.017675415404219148,588.7401632575722,1774.9328612108643,0.17418056747150668,1.0606521861344917,0.0029026611415583483,4902380.449914124,1.5145594565321324e-05,0.02063438911290111,0.023935208261871455,0.012847998241189863,-5.126157114375211,6.12615711437521,14.576939701230549,0.012847998241189863,0.0005737968315833805,0.9711855183137618,0.013820011542261333,-0.041460034626784,8.401387352075352,1888036.2360190726,4.143105089597021e-05,0.0035752929397315425,0.01430117175892617,0,-0.0017213904947501414,0.961087576736845,-0.03115341369175056,-0.03420583616127851,8.394133153609847,5.873022481834209,74.27254324938131,0.02943,0.02260676146200558,2240.485664265464,0.0,172.24665217541718
9,27,-27,0.0,0.224,4.5e-05,8.401387352075352,17.19,2240.485664265464,0.7403331232993747,5.8778947681492575,894.9332284557411,4.359034456984554,9.81,0.03940813824663037,74.21097748300885,0.1265656574277932,74.08441182558104,5.1728264318968734e-05,0.00015713852703048962,1.4766012773384502e-05,0.043865255633604765,0.00170548430596769,0.8547047543037615,500.2960541902665,100.21148699117401,0.0005304711540989486,1,1.1,1.9401752297341377,80.76937115493541,149.66917893933197,1.205858591854252,0.25,0.86,-62.61310526676723,0.24768506190467726,2.3629897855868154,5.269122908330862,0.15758105970003103,Mist,62576.733320041545,438.61214740303575,438.61214740303575,64.95018836896745,0.0017054843059676897,161462.567201589,0.00015506091360564084,0.004417628851444491,0.017670515405777965,585.3437127512007,1763.1501558449288,0.17419444604604362,1.060460215913899,0.0029026130318381416,4898937.714449998,1.5048667068478872e-05,0.02061742503191167,0.02392956324877339,0.012779113713554405,-5.08893836610005,6.08893836610005,14.570853894994427,0.012779113713554405,0.0005766214767554422,0.9714744331941185,0.013747901883940906,-0.04124370565182272,8.442631057727175,1888904.8015549355,4.142547081856792e-05,0.0035752340139409687,0.014300936055763875,0,-0.0017298644302663265,0.9614692819919306,-0.03100029425381427,-0.034041814228606096,8.435429166303958,5.901703766902097,73.91159121420813,0.02943,0.022172931583718764,2240.5372671970476,0.0,172.45377724100172
